Title,language_type,primary_genre,overview,vote_average,vote_count,popularity,is_popular
Kaun Pravin Tambe?,Bollywood,Drama,Mumbai-born leg-spinner Pravin Tambe made his debut in professional cricket at the age of 41 in the IPL for Rajasthan Royals in 2013 not having played any international or even first-class cricket before that. The story traces the extraordinary journey of Tambe as he became the oldest debutant - at an age when most cricketers have retired or are on the verge of retirement - a modern-day fable of an underdog who fought against his destiny.,7.3,10.0,3.118,1
Cobalt Blue,Bollywood,Romance,"When an aspiring author and his free-spirited sister both fall for the enigmatic paying guest at their home, ensuing events rock their traditional family.",6.4,18.0,5.029,0
Dasvi,Bollywood,Drama,"Jailed under a tough cop, an uneducated politician decides to spend his time studying for high school while his scheming wife has plans of her own.",5.4,18.0,4.485,0
Hurdang,Bollywood,Drama,"In the 1990s' Allahabad, a brash college student gets drawn into an uproar surrounding a critical bill that will affect India's education system.",5.0,2.0,3.69,0
Jersey,Bollywood,Drama,"An ex-cricketer struggling to make ends meet, wants to fulfill his child's wish of getting an Indian jersey but in the process comes face to face with his heroic past and is forced to decide if he will rise to the occasion and become a symbol of hope or continue to live a life as a loser?",7.0,31.0,9.077,1
Operation Romeo,Bollywood,Drama,Aditya Sharma and Neha Kasliwal are in a relationship which finds itself challenged one night when they’re out on a date and get harassed in the dead of the night by two men posing as policemen. Will the night change the course of their relationship?,6.2,5.0,1.853,0
Runway 34,Bollywood,Thriller,"A flying prodigy, Captain Vikrant Khanna's flight takes a stirring and mysterious trajectory after take-off from an international destination. Concurrently, it follows the tenacious Narayan Vedant in his pursuit to uncover the truth.",6.5,33.0,7.258,0
Heropanti 2,Bollywood,Action,"Babloo is a computer genius and Inaaya is a self-made billionaire. The two fall in love but due to unforeseen circumstances they suddenly part ways as the cybercrime lord, Laila wants him dead.",4.8,12.0,5.625,0
Mere Desh Ki Dharti,Bollywood,Comedy,Encompasses the journey of two engineering friends who go on a new adventure in the farming industry.,7.2,3.0,2.841,1
Thar,Bollywood,Western,A mysterious stranger arrives in a village situated in the Thar desert and crosses paths with a veteran cop investigating a case of brutal killings.,6.4,22.0,4.267,0
Jayeshbhai Jordaar,Bollywood,Comedy,"A non-confrontational Jayesh decides to defy his patriarchal family and flee with his pregnant wife Mudra to save their unborn daughter from foeticide. A screwball, hilarious chase begins as Jayesh's father assembles all his might to nab them. Will this unlikely hero manage to create a safe and equal haven for his daughter?",5.9,16.0,7.13,0
Bhool Bhulaiyaa 2,Bollywood,Horror,"When strangers Reet and Ruhan cross paths, their journey leads to an abandoned mansion and a dreaded spirit who has been trapped for 18 years.",6.2,52.0,8.781,0
Dhaakad,Bollywood,Action,"Special Agent Agni is tasked to find information and eventually, eliminate Rudraveer, an international human trafficker and a coal mafioso. Things turn personal when Agni discovers a truth that connects her to Rudraveer.",5.0,9.0,6.605,0
Anek,Bollywood,Action,"Amid the turmoil in northeast India, an undercover agent tasked with peace negotiations crosses paths with a tenacious boxer fighting for her dreams.",6.2,18.0,5.415,0
Samrat Prithviraj,Bollywood,Action,"The true story of legendary Hindu warrior king ""Prithviraj Chauhan"" including his early military successes, love story with Sanyogita & clashes with Muhammad of Ghor, a ruler of the Ghurid dynasty who led the foundation of Muslim rule in the Indian subcontinent.",7.2,13.0,10.579,1
Janhit Mein Jaari,Bollywood,Comedy,"A small-town girl from MP, Manokamna, gets a decent-paying job. But the work requires her to sell condoms. Will she be able to voice her beliefs while balancing her responsibilities and society?",6.8,6.0,2.397,0
